"###Public_4###"
"ID","Date/Time","Action","Message","SSID","AP"
" 78 ","2023-07-15 17:21:55","DHCP-ACK","DHCP ACK for IP 172.17.0.146 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 3c:f0:11:cd:e3:26 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Town Hall Public WiFi","Town Hall Planning Lobby"
" 79 ","2023-07-15 17:21:55","DHCP6-SOLICIT","DHCP6 SOLICIT from client 3c:f0:11:cd:e3:26(e4:b9:7a:e6:8f:f2)","Town Hall Public WiFi","Town Hall Planning Lobby"
" 80 ","2023-07-15 17:21:56","client-ip-detected","Client 3c:f0:11:cd:e3:26 had an IP address detected (by DHCP packets).","Town Hall Public WiFi","Town Hall Planning Lobby"
" 81 ","2023-07-15 17:21:56","client-ip-detected","Client 3c:f0:11:cd:e3:26 had an IPv6 address detected (by ARP packets)","Town Hall Public WiFi","Town Hall Planning Lobby"
" 82 ","2023-07-15 17:21:57","DHCP6-SOLICIT","DHCP6 SOLICIT from client 3c:f0:11:cd:e3:26(e4:b9:7a:e6:8f:f2)","Town Hall Public WiFi","Town Hall Planning Lobby"
" 83 ","2023-07-15 17:22:01","DHCP6-SOLICIT","DHCP6 SOLICIT from client 3c:f0:11:cd:e3:26(e4:b9:7a:e6:8f:f2)","Town Hall Public WiFi","Town Hall Planning Lobby"
" 84 ","2023-07-15 17:22:09","DHCP6-SOLICIT","DHCP6 SOLICIT from client 3c:f0:11:cd:e3:26(e4:b9:7a:e6:8f:f2)","Town Hall Public WiFi","Town Hall Planning Lobby"
" 85 ","2023-07-15 17:22:20","client-authentication","Client 8a:03:fa:3c:ed:9b authenticated.","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 86 ","2023-07-15 17:22:20","client-authentication","Client 56:9b:a9:fc:63:d5 authenticated.","Fire Station 2 Public WiFi","FS2_Hallway_Back"
" 87 ","2023-07-15 17:22:20","auth-req","AP received authentication request frame from client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 88 ","2023-07-15 17:22:20","auth-resp","AP sent authentication response frame to client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 89 ","2023-07-15 17:22:20","auth-req","AP received authentication request frame from client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 90 ","2023-07-15 17:22:20","reassoc-req","AP received reassociation request frame from client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 91 ","2023-07-15 17:22:20","reassoc-resp","AP sent reassociation response frame to client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 92 ","2023-07-15 17:22:20","client-ip-detected","Client 56:9b:a9:fc:63:d5 had an IP address detected (by IP packets).","Fire Station 2 Public WiFi","FS2_Hallway_Back"
" 93 ","2023-07-15 17:22:21","auth-req","AP received authentication request frame from client 56:9b:a9:fc:63:d5","Fire Station 2 Public WiFi","FS2_Hallway_Back"
" 94 ","2023-07-15 17:22:21","auth-resp","AP sent authentication response frame to client 56:9b:a9:fc:63:d5","Fire Station 2 Public WiFi","FS2_Hallway_Back"
" 95 ","2023-07-15 17:22:21","reassoc-req","AP received reassociation request frame from client 56:9b:a9:fc:63:d5","Fire Station 2 Public WiFi","FS2_Hallway_Back"
" 96 ","2023-07-15 17:22:21","reassoc-resp","AP sent reassociation response frame to client 56:9b:a9:fc:63:d5","Fire Station 2 Public WiFi","FS2_Hallway_Back"
" 97 ","2023-07-15 17:22:25","DHCP6-SOLICIT","DHCP6 SOLICIT from client 3c:f0:11:cd:e3:26(e4:b9:7a:e6:8f:f2)","Town Hall Public WiFi","Town Hall Planning Lobby"
" 98 ","2023-07-15 17:22:29","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.104 from client 80:cb:bc:f5:8e:18","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 99 ","2023-07-15 17:22:29","DHCP-ACK","DHCP ACK for IP 172.17.0.104 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 80:cb:bc:f5:8e:18 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 100 ","2023-07-15 17:22:35","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.3 from client a0:6a:44:f3:c6:49","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 101 ","2023-07-15 17:22:35","DHCP-ACK","DHCP ACK for IP 172.17.0.3 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client a0:6a:44:f3:c6:49 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 102 ","2023-07-15 17:22:39","client-ip-detected","Client 8a:03:fa:3c:ed:9b had an IP address detected (by ARP packets).","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 103 ","2023-07-15 17:22:39","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.78 from client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 104 ","2023-07-15 17:22:39","DHCP-ACK","DHCP ACK for IP 172.17.0.78 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 8a:03:fa:3c:ed:9b from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 105 ","2023-07-15 17:22:40","client-ip-detected","Client 8a:03:fa:3c:ed:9b had an IP address detected (by ARP packets).","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 106 ","2023-07-15 17:22:40","client-ip-detected","Client 8a:03:fa:3c:ed:9b had an IPv6 address detected (by IP packets)","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 107 ","2023-07-15 17:22:52","client-authentication","Client 56:9b:a9:fc:63:d5 authenticated.","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 108 ","2023-07-15 17:22:52","client-ip-detected","Client 56:9b:a9:fc:63:d5 had an IP address detected (by ARP packets).","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 109 ","2023-07-15 17:22:52","client-leave-wtp","Client 8c:1d:96:66:d0:ff leaves WTP.","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 110 ","2023-07-15 17:22:52","auth-req","AP received authentication request frame from client 56:9b:a9:fc:63:d5","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 111 ","2023-07-15 17:22:52","auth-resp","AP sent authentication response frame to client 56:9b:a9:fc:63:d5","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 112 ","2023-07-15 17:22:52","reassoc-req","AP received reassociation request frame from client 56:9b:a9:fc:63:d5","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 113 ","2023-07-15 17:22:52","reassoc-resp","AP sent reassociation response frame to client 56:9b:a9:fc:63:d5","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 114 ","2023-07-15 17:22:57","DHCP6-SOLICIT","DHCP6 SOLICIT from client 3c:f0:11:cd:e3:26(e4:b9:7a:e6:8f:f2)","Town Hall Public WiFi","Town Hall Planning Lobby"
" 115 ","2023-07-15 17:22:58","client-authentication","Client 8c:1d:96:66:d0:ff authenticated.","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 116 ","2023-07-15 17:22:58","auth-req","AP received authentication request frame from client 8c:1d:96:66:d0:ff","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 117 ","2023-07-15 17:22:58","auth-resp","AP sent authentication response frame to client 8c:1d:96:66:d0:ff","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 118 ","2023-07-15 17:22:58","assoc-req","AP received association request frame from client 8c:1d:96:66:d0:ff","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 119 ","2023-07-15 17:22:58","assoc-resp","AP sent association response frame to client 8c:1d:96:66:d0:ff","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 120 ","2023-07-15 17:22:59","client-ip-detected","Client 8c:1d:96:66:d0:ff had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 121 ","2023-07-15 17:22:59","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.70 from client 8c:1d:96:66:d0:ff","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 122 ","2023-07-15 17:22:59","DHCP-ACK","DHCP ACK for IP 172.17.0.70 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 8c:1d:96:66:d0:ff from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 123 ","2023-07-15 17:23:00","client-ip-detected","Client 8c:1d:96:66:d0:ff had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 124 ","2023-07-15 17:23:00","client-ip-detected","Client 8c:1d:96:66:d0:ff had an IPv6 address detected (by IP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 125 ","2023-07-15 17:23:03","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.70 from client 8c:1d:96:66:d0:ff","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 126 ","2023-07-15 17:23:03","DHCP-ACK","DHCP ACK for IP 172.17.0.70 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 8c:1d:96:66:d0:ff from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 127 ","2023-07-15 17:23:05","client-ip-detected","Client 8c:1d:96:66:d0:ff had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 128 ","2023-07-15 17:23:05","client-ip-detected","Client 8c:1d:96:66:d0:ff had an IPv6 address detected (by IP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 129 ","2023-07-15 17:23:05","client-ip-detected","Client 8c:1d:96:66:d0:ff had an IPv6 address detected (by IP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 130 ","2023-07-15 17:23:05","client-ip-detected","Client 8c:1d:96:66:d0:ff had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 131 ","2023-07-15 17:23:05","client-ip-detected","Client 8c:1d:96:66:d0:ff had an IPv6 address detected (by IP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 132 ","2023-07-15 17:23:05","client-ip-detected","Client 8c:1d:96:66:d0:ff had an IPv6 address detected (by IP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 133 ","2023-07-15 17:23:05","client-ip-detected","Client 8c:1d:96:66:d0:ff had an IPv6 address detected (by IP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 134 ","2023-07-15 17:23:06","client-leave-wtp","Client 54:8c:a0:06:b5:bd leaves WTP.","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 135 ","2023-07-15 17:23:27","client-authentication","Client 42:0b:11:1b:cf:cb authenticated.","HSPD Public WiFi","LEC_ServerRoom_Hallway_AP"
" 136 ","2023-07-15 17:23:27","client-ip-detected","Client 42:0b:11:1b:cf:cb had an IP address detected (by ARP packets).","HSPD Public WiFi","LEC_ServerRoom_Hallway_AP"
" 137 ","2023-07-15 17:23:27","auth-req","AP received authentication request frame from client 42:0b:11:1b:cf:cb","HSPD Public WiFi","LEC_ServerRoom_Hallway_AP"
" 138 ","2023-07-15 17:23:27","auth-resp","AP sent authentication response frame to client 42:0b:11:1b:cf:cb","HSPD Public WiFi","LEC_ServerRoom_Hallway_AP"
" 139 ","2023-07-15 17:23:27","reassoc-req","AP received reassociation request frame from client 42:0b:11:1b:cf:cb","HSPD Public WiFi","LEC_ServerRoom_Hallway_AP"
" 140 ","2023-07-15 17:23:27","reassoc-resp","AP sent reassociation response frame to client 42:0b:11:1b:cf:cb","HSPD Public WiFi","LEC_ServerRoom_Hallway_AP"
" 141 ","2023-07-15 17:23:39","client-disconnected-by-wtp","Client a0:6a:44:f3:c6:49 disconnected by WTP.","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
