"###Public_4###"
"ID","Date/Time","Action","Message","SSID","AP"
" 26 ","2023-07-16 17:18:56","reassoc-req","AP received reassociation request frame from client 9a:fe:11:20:49:3e","Bass Lake Public WiFi","BassLake_Conf_AP"
" 27 ","2023-07-16 17:18:56","client-ip-detected","Client 9a:fe:11:20:49:3e had an IP address detected (by ARP packets).","Bass Lake Public WiFi","BassLake_Conf_AP"
" 28 ","2023-07-16 17:19:04","client-ip-detected","Client 9a:fe:11:20:49:3e had an IPv6 address detected (by ARP packets)","Bass Lake Public WiFi","BassLake_Conf_AP"
" 29 ","2023-07-16 17:18:56","client-authentication","Client 9a:fe:11:20:49:3e authenticated.","Bass Lake Public WiFi","BassLake_Conf_AP"
" 30 ","2023-07-16 17:18:56","auth-resp","AP sent authentication response frame to client 9a:fe:11:20:49:3e","Bass Lake Public WiFi","BassLake_Conf_AP"
" 31 ","2023-07-16 17:18:56","reassoc-resp","AP sent reassociation response frame to client 9a:fe:11:20:49:3e","Bass Lake Public WiFi","BassLake_Conf_AP"
" 32 ","2023-07-16 17:19:04","client-ip-detected","Client 9a:fe:11:20:49:3e had an IP address detected (by ARP packets).","Bass Lake Public WiFi","BassLake_Conf_AP"
" 33 ","2023-07-16 17:19:30","DHCP-ACK","DHCP ACK for IP 172.17.12.209 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client b4:b6:86:44:df:c8 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 34 ","2023-07-16 17:19:37","client-ip-detected","Client 92:6d:15:fa:5f:c9 had an IP address detected (by ARP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 35 ","2023-07-16 17:19:41","client-ip-detected","Client 02:11:4b:94:68:bd had an IP address detected (by IP packets).","Hunt Center Public WiFi","HuntCenter_Gym_AP"
" 36 ","2023-07-16 17:19:42","auth-req","AP received authentication request frame from client 02:11:4b:94:68:bd","Hunt Center Public WiFi","HuntCenter_Gym_AP"
" 37 ","2023-07-16 17:19:42","reassoc-req","AP received reassociation request frame from client 02:11:4b:94:68:bd","Hunt Center Public WiFi","HuntCenter_Gym_AP"
" 38 ","2023-07-16 17:19:30","DHCP-REQUEST","DHCP REQUEST for IP 172.17.12.209 from client b4:b6:86:44:df:c8","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 39 ","2023-07-16 17:19:37","client-ip-detected","Client 92:6d:15:fa:5f:c9 had an IPv6 address detected (by IP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 40 ","2023-07-16 17:19:38","DHCP6-SOLICIT","DHCP6 SOLICIT from client 54:8c:a0:06:b5:bd(54:8c:a0:06:b5:bd)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 41 ","2023-07-16 17:19:38","DHCP6-SOLICIT","DHCP6 SOLICIT from client b4:b6:86:44:df:c8(00:00:00:00:00:00)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 42 ","2023-07-16 17:19:41","client-authentication","Client 02:11:4b:94:68:bd authenticated.","Hunt Center Public WiFi","HuntCenter_Gym_AP"
" 43 ","2023-07-16 17:19:42","auth-resp","AP sent authentication response frame to client 02:11:4b:94:68:bd","Hunt Center Public WiFi","HuntCenter_Gym_AP"
" 44 ","2023-07-16 17:19:42","reassoc-resp","AP sent reassociation response frame to client 02:11:4b:94:68:bd","Hunt Center Public WiFi","HuntCenter_Gym_AP"
" 45 ","2023-07-16 17:20:01","client-authentication","Client 58:ce:2a:c2:fe:f7 authenticated.","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 46 ","2023-07-16 17:20:01","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by IP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 47 ","2023-07-16 17:20:02","auth-resp","AP sent authentication response frame to client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 48 ","2023-07-16 17:20:02","assoc-resp","AP sent association response frame to client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 49 ","2023-07-16 17:20:02","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 50 ","2023-07-16 17:20:02","DHCP6-SOLICIT","DHCP6 SOLICIT from client 58:ce:2a:c2:fe:f7(0c:37:96:65:dc:57)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 51 ","2023-07-16 17:20:03","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by ARP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 52 ","2023-07-16 17:20:03","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by ARP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 53 ","2023-07-16 17:20:03","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 54 ","2023-07-16 17:20:03","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by ARP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 55 ","2023-07-16 17:20:03","DHCP-OFFER","DHCP OFFER of IP 172.17.0.29 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 58:ce:2a:c2:fe:f7 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 56 ","2023-07-16 17:20:03","DHCP-ACK","DHCP ACK for IP 172.17.0.29 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 58:ce:2a:c2:fe:f7 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 57 ","2023-07-16 17:20:03","client-ip-detected","Client 1a:42:cf:bc:49:55 had an IPv6 address detected (by ARP packets)","Bass Lake Public WiFi","BassLake_Office_AP"
" 58 ","2023-07-16 17:20:03","DHCP6-SOLICIT","DHCP6 SOLICIT from client 58:ce:2a:c2:fe:f7(0c:37:96:65:dc:57)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 59 ","2023-07-16 17:20:00","rogue-ap-off-air","AP Axis Public e2:55:a8:0a:84:2c chan 11 live 1791373 age 62","Axis Public"," "
" 60 ","2023-07-16 17:20:01","DHCP6-SOLICIT","DHCP6 SOLICIT from client 58:ce:2a:c2:fe:f7(0c:37:96:65:dc:57)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 61 ","2023-07-16 17:20:01","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IP address detected (by SAVE packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 62 ","2023-07-16 17:20:02","auth-req","AP received authentication request frame from client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 63 ","2023-07-16 17:20:02","assoc-req","AP received association request frame from client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 64 ","2023-07-16 17:20:02","DHCP-DISCOVER","DHCP DISCOVER from client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 65 ","2023-07-16 17:20:02","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by IP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 66 ","2023-07-16 17:20:03","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 67 ","2023-07-16 17:20:03","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 68 ","2023-07-16 17:20:03","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by ARP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 69 ","2023-07-16 17:20:03","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by ARP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 70 ","2023-07-16 17:20:03","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by ARP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 71 ","2023-07-16 17:20:03","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.29 offered by server 172.17.0.254 from client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 72 ","2023-07-16 17:20:03","client-ip-detected","Client 1a:42:cf:bc:49:55 had an IP address detected (by IP packets).","Bass Lake Public WiFi","BassLake_Office_AP"
" 73 ","2023-07-16 17:20:04","auth-req","AP received authentication request frame from client 76:bc:7f:44:41:a7","Hunt Center Public WiFi","HuntCenter_Lobby_AP"
" 74 ","2023-07-16 17:20:08","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.35 from client 22:bc:1f:0d:6d:5b","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 75 ","2023-07-16 17:20:11","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.23 from client e8:51:77:0e:dc:44","Town Hall Public WiFi","Town Hall Engineering"
" 76 ","2023-07-16 17:20:04","auth-resp","AP sent authentication response frame to client 76:bc:7f:44:41:a7","Hunt Center Public WiFi","HuntCenter_Lobby_AP"
" 77 ","2023-07-16 17:20:05","DHCP6-SOLICIT","DHCP6 SOLICIT from client 58:ce:2a:c2:fe:f7(0c:37:96:65:dc:57)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 78 ","2023-07-16 17:20:08","DHCP-ACK","DHCP ACK for IP 172.17.0.35 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 22:bc:1f:0d:6d:5b from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Fire Station 2 Public WiFi","FS2_Hallway_Front"
" 79 ","2023-07-16 17:20:09","DHCP6-SOLICIT","DHCP6 SOLICIT from client 58:ce:2a:c2:fe:f7(0c:37:96:65:dc:57)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 80 ","2023-07-16 17:20:11","DHCP-ACK","DHCP ACK for IP 172.17.0.23 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client e8:51:77:0e:dc:44 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Town Hall Public WiFi","Town Hall Engineering"
" 81 ","2023-07-16 17:20:17","DHCP6-SOLICIT","DHCP6 SOLICIT from client 58:ce:2a:c2:fe:f7(0c:37:96:65:dc:57)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 82 ","2023-07-16 17:20:31","DHCP6-SOLICIT","DHCP6 SOLICIT from client 58:ce:2a:c2:fe:f7(0c:37:96:65:dc:57)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 83 ","2023-07-16 17:20:31","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by ARP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 84 ","2023-07-16 17:20:31","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by ARP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 85 ","2023-07-16 17:20:31","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 86 ","2023-07-16 17:20:31","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by ARP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 87 ","2023-07-16 17:20:32","auth-req","AP received authentication request frame from client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 88 ","2023-07-16 17:20:32","reassoc-req","AP received reassociation request frame from client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 89 ","2023-07-16 17:20:32","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.29 from client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 90 ","2023-07-16 17:20:32","client-leave-wtp","Client 58:ce:2a:c2:fe:f7 leaves WTP.","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 91 ","2023-07-16 17:20:36","auth-req","AP received authentication request frame from client 02:11:4b:94:68:bd","Hunt Center Public WiFi","HuntCenter_2ndFloor_Room_AP"
" 92 ","2023-07-16 17:20:36","reassoc-req","AP received reassociation request frame from client 02:11:4b:94:68:bd","Hunt Center Public WiFi","HuntCenter_2ndFloor_Room_AP"
" 93 ","2023-07-16 17:20:31","client-authentication","Client 58:ce:2a:c2:fe:f7 authenticated.","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 94 ","2023-07-16 17:20:31","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 95 ","2023-07-16 17:20:31","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 96 ","2023-07-16 17:20:31","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 97 ","2023-07-16 17:20:31","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by ARP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 98 ","2023-07-16 17:20:31","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by ARP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 99 ","2023-07-16 17:20:31","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by ARP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 100 ","2023-07-16 17:20:32","auth-resp","AP sent authentication response frame to client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 101 ","2023-07-16 17:20:32","reassoc-resp","AP sent reassociation response frame to client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 102 ","2023-07-16 17:20:32","DHCP-ACK","DHCP ACK for IP 172.17.0.29 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 58:ce:2a:c2:fe:f7 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 103 ","2023-07-16 17:20:35","client-authentication","Client 02:11:4b:94:68:bd authenticated.","Hunt Center Public WiFi","HuntCenter_2ndFloor_Room_AP"
" 104 ","2023-07-16 17:20:36","client-ip-detected","Client 02:11:4b:94:68:bd had an IP address detected (by ARP packets).","Hunt Center Public WiFi","HuntCenter_2ndFloor_Room_AP"
" 105 ","2023-07-16 17:20:36","auth-resp","AP sent authentication response frame to client 02:11:4b:94:68:bd","Hunt Center Public WiFi","HuntCenter_2ndFloor_Room_AP"
" 106 ","2023-07-16 17:20:36","reassoc-resp","AP sent reassociation response frame to client 02:11:4b:94:68:bd","Hunt Center Public WiFi","HuntCenter_2ndFloor_Room_AP"
" 107 ","2023-07-16 17:21:00","client-authentication","Client 58:ce:2a:c2:fe:f7 authenticated.","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 108 ","2023-07-16 17:21:00","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 109 ","2023-07-16 17:21:00","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by IP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 110 ","2023-07-16 17:21:01","auth-resp","AP sent authentication response frame to client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 111 ","2023-07-16 17:21:01","assoc-resp","AP sent association response frame to client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 112 ","2023-07-16 17:21:01","DHCP-ACK","DHCP ACK for IP 172.17.0.29 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 58:ce:2a:c2:fe:f7 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 113 ","2023-07-16 17:21:01","DHCP6-SOLICIT","DHCP6 SOLICIT from client 58:ce:2a:c2:fe:f7(0c:37:96:65:dc:57)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 114 ","2023-07-16 17:21:01","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IPv6 address detected (by ARP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 115 ","2023-07-16 17:21:03","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.29 from client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 116 ","2023-07-16 17:21:03","DHCP6-SOLICIT","DHCP6 SOLICIT from client 58:ce:2a:c2:fe:f7(0c:37:96:65:dc:57)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 117 ","2023-07-16 17:21:14","client-ip-detected","Client 82:52:18:fd:7b:ad had an IP address detected (by ARP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 118 ","2023-07-16 17:21:15","auth-req","AP received authentication request frame from client 82:52:18:fd:7b:ad","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 119 ","2023-07-16 17:21:15","reassoc-req","AP received reassociation request frame from client 82:52:18:fd:7b:ad","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 120 ","2023-07-16 17:21:15","client-ip-detected","Client 82:52:18:fd:7b:ad had an IP address detected (by ARP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 121 ","2023-07-16 17:21:15","DHCP6-SOLICIT","DHCP6 SOLICIT from client 58:ce:2a:c2:fe:f7(0c:37:96:65:dc:57)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 122 ","2023-07-16 17:21:19","client-ip-detected","Client 3c:f0:11:cd:e3:26 had an IP address detected (by DHCP packets).","Town Hall Public WiFi","Town Hall Planning Lobby"
" 123 ","2023-07-16 17:21:20","client-ip-detected","Client 3c:f0:11:cd:e3:26 had an IPv6 address detected (by IP packets)","Town Hall Public WiFi","Town Hall Planning Lobby"
" 124 ","2023-07-16 17:21:20","auth-resp","AP sent authentication response frame to client 3c:f0:11:cd:e3:26","Town Hall Public WiFi","Town Hall Planning Lobby"
" 125 ","2023-07-16 17:21:20","reassoc-resp","AP sent reassociation response frame to client 3c:f0:11:cd:e3:26","Town Hall Public WiFi","Town Hall Planning Lobby"
" 126 ","2023-07-16 17:21:20","DHCP-ACK","DHCP ACK for IP 172.17.0.146 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 3c:f0:11:cd:e3:26 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Town Hall Public WiFi","Town Hall Planning Lobby"
" 127 ","2023-07-16 17:21:00","DHCP6-SOLICIT","DHCP6 SOLICIT from client 58:ce:2a:c2:fe:f7(0c:37:96:65:dc:57)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 128 ","2023-07-16 17:21:00","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 129 ","2023-07-16 17:21:01","auth-req","AP received authentication request frame from client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 130 ","2023-07-16 17:21:01","assoc-req","AP received association request frame from client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 131 ","2023-07-16 17:21:01","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.29 from client 58:ce:2a:c2:fe:f7","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 132 ","2023-07-16 17:21:01","client-ip-detected","Client 58:ce:2a:c2:fe:f7 had an IP address detected (by DHCP packets).","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 133 ","2023-07-16 17:21:03","DHCP-ACK","DHCP ACK for IP 172.17.0.29 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 58:ce:2a:c2:fe:f7 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 134 ","2023-07-16 17:21:04","client-leave-wtp","Client 1a:42:cf:bc:49:55 leaves WTP.","Bass Lake Public WiFi","BassLake_Office_AP"
" 135 ","2023-07-16 17:21:07","DHCP6-SOLICIT","DHCP6 SOLICIT from client 58:ce:2a:c2:fe:f7(0c:37:96:65:dc:57)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 136 ","2023-07-16 17:21:14","client-authentication","Client 82:52:18:fd:7b:ad authenticated.","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 137 ","2023-07-16 17:21:15","auth-resp","AP sent authentication response frame to client 82:52:18:fd:7b:ad","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 138 ","2023-07-16 17:21:15","reassoc-resp","AP sent reassociation response frame to client 82:52:18:fd:7b:ad","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 139 ","2023-07-16 17:21:15","client-ip-detected","Client 82:52:18:fd:7b:ad had an IPv6 address detected (by IP packets)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 140 ","2023-07-16 17:21:19","client-authentication","Client 3c:f0:11:cd:e3:26 authenticated.","Town Hall Public WiFi","Town Hall Planning Lobby"
" 141 ","2023-07-16 17:21:19","DHCP6-SOLICIT","DHCP6 SOLICIT from client 3c:f0:11:cd:e3:26(e4:b9:7a:e6:8f:f2)","Town Hall Public WiFi","Town Hall Planning Lobby"
" 142 ","2023-07-16 17:21:20","client-ip-detected","Client 3c:f0:11:cd:e3:26 had an IP address detected (by DHCP packets).","Town Hall Public WiFi","Town Hall Planning Lobby"
" 143 ","2023-07-16 17:21:20","auth-req","AP received authentication request frame from client 3c:f0:11:cd:e3:26","Town Hall Public WiFi","Town Hall Planning Lobby"
" 144 ","2023-07-16 17:21:20","reassoc-req","AP received reassociation request frame from client 3c:f0:11:cd:e3:26","Town Hall Public WiFi","Town Hall Planning Lobby"
" 145 ","2023-07-16 17:21:20","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.146 from client 3c:f0:11:cd:e3:26","Town Hall Public WiFi","Town Hall Planning Lobby"
